pod1_mem,pod1_cpu,pod2_mem,pod2_cpu
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
28608,0.000121467,21224,0.000128321
