cont1_mem,cont1_cpu,cont2_mem,cont2_cpu
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21168,0.005289721,21128,0.000266856
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21168,0.005289721,21128,0.000266856
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21168,0.005289721,21128,0.000266856
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21168,0.005289721,21128,0.000266856
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21168,0.005289721,21128,0.000266856
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21168,0.005289721,21128,0.000266856
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
21128,0.000266856,21168,0.005289721
