mem,cpu
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
21200,0.000116289
