replicas_count,current_cpu_utilz,hpa_target
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
10,596,50
