pod1_mem,pod1_cpu,pod2_mem,pod2_cpu
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
21292,6.0466e-05,21336,6.022e-05
